text,rating,date,location,review_length,word_count
delicious thai restaurant look fresh flavorful thai spot service fast place nicely decorate look small inside plenty seat space,5,"Dec 4, 2024","Temecula, CA",198,33
come valentine food good order tomyum soup duck holy basil softshell crab yellow curryevery thing good complaint comparable restaurant aroundjust wish crispy duck item menuthere deposit system deposit aud 20 reserve table think valentine crowd depositshould pay counter deduct deposit,3,"Feb 15, 2025","Jacksonville, FL",485,82
unfortunately husband react msg ajinomoto flavor enhancer normally thai food think safe thai restaurant safe talk waitress reaction waitress kindly change order avoid possibility msg currently emergency room bad reaction food despite waitress assurance cook avoid flavor msg food bland bland contain msg specify msg say allergic need hospitalwe avoid home future service good msg confusion ambience good,1,"Oct 25, 2024","Kailua, HI",733,131
food deliciousthe drawback fact card accept payment cash bank transfersewallet highly recommend,4,"Jan 7, 2025","San Rafael, CA",165,26
great place thai food long know extremely busy evening chaotic portion large 4 star rating hold true thing par thai pretty good value sydney dining spicy basil chicken good dessert shave ice lack flavor,4,"Feb 6, 2024","San Clemente, CA",345,69
good thai food large portion flavor place busy crowded table small order 2 meal appetizer rice desert recommend crave thai food group good venue share family style fried donut tasty,5,"Jan 2, 2024","Cupertino, CA",336,59
come looklng indonesian food dinner early evening busy order large menu pay eat try change order waitress forget dish not order chicken pad thai seafood glass noodle pad thai 2 beer winethe meal come different time m wife nearly finish meal receive quality quantity good lot noodlesthe cost 2 come 75 relatively good value,4,"Feb 22, 2024","Portishead, United Kingdom",509,98
food good people nice sitting look menu order little odd sure,4,"Mar 29, 2024","Lakeside, CA",129,29
hungry absolutely solid thai partner love pad thai rock order extra spicy blow brain yummy,5,"Aug 24, 2022","Calgary, Canada",162,32
overall food good enjoy papaya salad habe get rice instead pad thai way sugary red sauce coat clean restaurant nice atmosphere satisfy service,5,"Jan 1, 2024","Champaign, IL",224,39
nice food large portion low price recommend thai milk tea pad ew pineapple fry rice,5,"Dec 14, 2023","Sydney, Australia",121,23
authentic thai flavourseven wednesday evening queue outside restaurant take half hour table worth wait food delicious redolent thai spice lemongrass chilli galangal coriander tom yum giant king prawn outstanding love mango sticky rice dessert,5,"Nov 6, 2019","Bulimba, Australia",362,63
usually love explore different restaurant m travel say happily come twice week dish ie som tum come huge portion ve helping curry dish ie sweet penang curry pad thai huge dish delicious serve traditional side sugar chili peanut colleague barely room table dish order share family style love order exception tamarind sauce fish let happy self wild home thai good thai restaurant ve eat outside thailand jing jing,5,"Mar 29, 2018","Chicago, IL",739,130
well thom yum soup good service tasty,5,"Jul 2, 2021","Knoxville, TN",51,9
state home thai restaurant sprawl culinary efficiency s hot spot sydney develop tremendous respect speed friendliness not particularly blow away iteration alltime favorite thai dish panang currystar 1 service atmosphereby sydney restaurant standard home thai real estate fill space pretty high density seating will not knee knee elbow elbow neighbor ll able hear word maybe find different location intimate datehowever fine close quarter sit watch smooth efficiency home thai run yes queue grow long burn quickly easily food minute post order impressive starstar 2 portion relative costthere great value home thai good sized curry dish price low 1200 aud blissfully cheap especially come state advantageous exchange rate star star 3 4 foodmy panang curry potential world right mix fresh ingredient fluffy accompany jasmine rice consistency bit strike watery creamy texture flavor profile not pop way typically expect yellow curry single star star 5 excited backhome thai great experience dish fall bit short thai ve star,3,"May 26, 2019","Los Angeles, CA",1720,306
bad experience environment noisyit strange not waiter orderthey not count money wrong add bowl rice 45dollar give 20 write 10dollar give dollar tell pay dollar possible waiter charge money restaurant pay attentionthe price low thai restaurant haymarketan extra portion rice not serve 20 minute serve rush dish guest come later servedthen mango glutinous rice remind serve wait 12 minute pot collect table collect find mango sour immature,1,"Feb 15, 2023","Chippendale, Sydney, Australia",858,155
place definitely live hype line stop service stunningly efficient line move quickly atmosphere fantastic bustle open kitchen conversation order crispy pork belly soo crispy burst flavor spicy pineapple fry rice fyi get seafood pineapple add unique flavor stuff face leave wish room dessert look incredible,5,"Jan 3, 2019","Los Angeles, CA",539,95
find home thai yelp disappointed arrive early line form seat right away remain table 545pm take bit server order order food come fast massaman curry amazing beef extremely tender sauce nicely balance coconut spice peanut work price extremely reasonable head rice 3 extra not prominently note menu d suggest double check bill go pay give else 35 d agree line place people come linger long time people come excellent thai food serve quickly table turn quickly,4,"Sep 29, 2016","Indianapolis, IN",888,163
pass restaurant way home busy fuss abouti restaurant deliver food order soo fast m kid surprised waitress take order app get food drink 6 minute place packed busy impressive bad experience service quality food falter yummy way thai food suppose pricing affordable dish good quantity easily share 2 people 20 tip well try dinner rush line people head 830 mark d try place d order takeaway weekly basis great thai place,5,"Sep 25, 2018","Brisbane, Australia",1054,207
come d hear good thing friend prosfood drink come quickice milk tea yummy yummyspicy ground chicken flavorfulconscash onlymassaman curry sweeeet meat toughpork dumpling sweet way sticky saucy peanut pork,3,"Jul 4, 2018","Los Angeles, CA",308,50
favorite thai place deliveryalway fast super responsive issuehighly recommend,4,"Apr 15, 2018","Bayswater, Australia",123,20
simply try crispy pork incredible try curry puff totally oily nice change place chicken pad thai delicious depend time arrive wait door dine seat immediately eftpos minimum 30 spend mean order happily leftover lunch tomorrow restaurant right corner park royal darling harbour definitely room service miss get home thai,5,"Feb 6, 2018","Bridgeman Downs, Australia",595,109
ve mean write review day not chance 6 day eat truth tell mouth water week visit homemy boyfriend warn line sure despite have 10 party wait actually fairly quick maybe 20 minute work fyi place cash wait give time atmonce seat food come quickly sodamngood get 2 appetizer dim sum multicolore dumpling not remember ll know menu boyfriend order mussamum curry say good s order pad thai good ve home right will not sorry,5,"Dec 12, 2015","San Francisco, CA",886,166
group 6 wait 15 min table place congest similar mamaki order vegetarian entree keuw tiew lod main pad ka paodessert water chestnut jellywe get food 5 min orderedfood deliciousserve quantity sufficient price reasonableoverall good experience look visit,4,"May 5, 2015","Sydney, Australia",385,67
pretty good thai restaurant ve eat life right not thailand eat thai restaurant america thai food america suck bet place well half place thailand safe eat,5,"Jan 5, 2016","Los Gatos, CA",280,53
stumble restaurant look place dinner food deliciousi thoroughly enjoy entire meal favorite dessert water chestnut coconut milk taste authentic fresh highly recommend,5,"Jun 28, 2016","New York, NY",269,41
hail nom ninjasthis place slap silly call susan againthe wait begin service blast lightning bolt fast food pipe hot super fresh sensayshalicious sensayshaliciousfor bang tenner place blow away time 175 bbq pork great choice spice wimp mild autumn afternoonfinal think know order bazillion peep come going toe froing know scribble outside waiting list know,5,"Jun 3, 2014","Katong, Singapore, Singapore",610,108
thailand eat fair bit thai food knowledge technique authenticity eat plenty bad thai food home thai time lunch impressed quickly work line door not matter order come fresh fast noodle greasy milder dish flavorful spicy option personally love pad kee mao warn pack lot kick m short eat delicious bring cash bill 30 split check watch heat spicy dish,4,"Dec 31, 2015","Sydney, Australia",744,142
pretty high expectation home thai end day entire experience fall little shortthis place energy look loudish joint hear conversation people not exactly mindeveryone speak helpful fully feel like understand exactly look try ask recommendation extra rice tough explain thing people work thereit food end day food not good badit 100 average pad thai solid unexceptional place suburban nj curry flavorful little onenote surprised deeply fry food find kill lot flavorif random restaurant d ok people talk home city ton thai food wish pick place enjoy food enjoy food complexity subtlety,3,"Oct 29, 2017","New York, NY",1165,226
wife friend introduce amazing place thai food term value money beat gladly pay money meal extremely glad affordablethe flavour dish pop disappointed menu selection love thai curry try dish amazedif time pork belly fan let honest not mean m jewish love pork belly place make crispy know sure fatty damn good not like home leftover send email pick apartmentbut d salad banana flower papaya wrong pork belly dish sticky rice enjoy finish item dessert menu freshly fried dough coconut pandan sauce dip great finish great mealby way d suggest go big group good way try lot,5,"Jan 15, 2012","Deerfield, IL",1200,238
home thai alltime favourite think review go lunch different menu dinnersoft shell crab w mango salad pu nim yum ma mhungthe crab perfectly fry act sweet delicious protein right combination mango salad work balance sweetness acidity right texture complement fresh veggie mix soft crunchy freshness fried soft shell crab give salad crouton quality warmthstir fried crispy pork belly w pik khing sauce rice kao rad pik khing moo grobone alltime favourite s tender pork crispy crackling yummy dish describe sensory overload oil base sauce come flavour good mix white rice heat chilli give kick green bean passenger cook al dente icing cake good thing consume moderation large serving probably sicken lunch portion include rice right share twospicy soft bone pork soup tom saabamateur beef love pure beef soup season thai spice predominantly coriander look like generic asian noodle soup unique personality distinctively different chinese viet flavour weird yum noodle ultra tender chunky beef dish alternative pho winterconclusionbefore time home think thai food consist pad thai green curry tom yum flavour idea dish authentic delicious reasonably pricedthe salad amazing starter crispy pork belly musthave good thing available lunch dinner menusthesydneynoob,5,"Apr 21, 2014","Sydney, Australia",2097,370
place build self reputation sydney visit eatery walk past occasion not help intrigue offer base crowd line outsideit wednesday approx 745 take 45 minute wait like hope special get seat ordered time blink get serve food papaya salad masaman beef curry spring roll spring roll vegetarian serve sweet sauce perfect starter papaya salad combination pork pepper cucumber gorgeous crunchy cracker salad good oh spicy perfect ready recommend have water table good despite heat keep eat curry perfect dish take break spicy salad masaman beef big chunk beef tasty worked welljust overindulge opt try mango sweet rice tasty dish rice colour fun vanilla sauce mango sweet nice dessert overall sure staff point get people quickly possible place good vibe food match thumb,5,"Mar 25, 2015","Crows Nest, Australia",1357,258
authentic food deliciousi love soft shell crab mango salad order second meal perfect balance sweet tangy salty flavor soft shell crap fry perfectionthe pad thai delicious home usually order chicken pad thai decision maker table order beef not write home beef piece leave actual pad thai perfect chewiness soggy like chili peanut lemon sugar place noodle mix taste dish come lot fresh bean sproutsfresh spring roll rice paper skin soft firm time tend fall apart pick nice light appetizer sharethe satay chicken great dish large skewer chicken pair satay sauce large piece chicken breast dry toughmy party enjoy banana flower salad want cup tea pretty fragrant love itwe order type dessert oh food binge party mind durian sticky rice bad dish night super sweet warm odd temperature d stay away thismango sticky rice great sticky rice dish come type sticky rice pandan coconut dark color sure wasfrie breadstick pandan coconut sauce extremely fresh actually see dry breadstick open kitchen upstairs bread stick similar donut lighter stuff dinner manage fit inverdict great thai place wonderful flavor returntip later evening sit window stuffy hot little ventilation window upstairs,5,"Jan 12, 2014","Sydney, Australia",2022,363
second favourite casual thai restaurant sydneyi come lot recommend casual thai restaurant s queue wait long vibe hip service pretty good overall swamp easily feed people 20 eachtheir pad thai little different location sweet want come sugar pad ew pad khee mao good stir fry pork belly dish delicious albeit taste somewhat similarbut good love massaman curry duck curry shoot goodif not handle spicy food suggest ask tone order,4,"Jan 21, 2013","Sydney, Australia",769,143
see long line outside think good place eat realise thaiso glad wait not long maybe 20 min food come 5 min literally place alive hear dish clincke people talk waiter rush like dart 46massamun beef tasty beef pull apart easily 16herb pork stick 17fresh spring roll tasty 129crispy pork belly little spicy crackle taste goodthe black ice tea sweet like sweetmake sure leave room mango sticky rice dessert,4,"Oct 12, 2013","Southbank, Melbourne, Australia",630,112
time visit food service worthy rating place great food favorite green chicken curry nice spice like itthere line key patient soon number thai patron tip quality food order beer spicy dish enjoy,5,"Jun 1, 2014","Frederick, MD",436,88
delicious pad thai curry spring roll come time huge serving pad thai,5,"Mar 19, 2018","Nuremberg, Germany",98,18
australia not barbie beach thai food massive try 20 minute wait arrive process fairly simple list party ticket fairly windy outside mean bit chill air view kitchen keep entertain duration waitwe seat upstairs cozy settle water wait order take fairly lengthy 4 star think rest 5 star experience order take ipad nonetheless food come quickly pipe hot come later learn suppose eat family style share dish live learn tuck range item chicken satay deep fry beef pad thai chicken coconut soup sticky rice green curry beef cashew nut food start come moment order vegetable spring onion etc completely cook slightly disappointing chicken coconut soup delicious creamy fill right spice pair properly sticky rice need knife fork happy thai experience,4,"Jan 5, 2014","Manchester, United Kingdom",1376,252
like hiiiihow food modify thai not come say not eat authentic sometang place asian service go to mothering service think folk think service noso great asian not like baby people eat rude not ask question bite food flavor true food lover food good thailand hot ask hot blast flavor need add stuff sure occasionally s mishap place world simply explain coworker charge 2 item week ago add explain simply dish get busy arrive 6 pm great favorite popular dish m som tam curry adventurous not order pad thai fried rice great place order eat away enjoy,5,"Jul 29, 2015","Earth, TX",1208,231
friday lunch time home like thai food steroid highly recommend service overall fast efficient wear smile food serve minute sit flavours presentation overall dish fantastic,5,"Jul 25, 2014","Sydney, Australia",254,45
give number excellent review find online finally chance try restaurant mate todaygrante m write review base main amp drink slightly biased oh wellpad ew 990 portion generous flavour justmeh definitely bad pad ew sydneylogan drink 4 sweet syrup taste logan disappointingi think 10 lunch good deal give locate haymarket area m sure well 10 lunch optionssorry fan restaurant live expectation high promise try dish noteno credit card bill 30,2,"Aug 5, 2013","Sydney, Australia",751,136
restaurant recommend friend wait 20 min happy service food portion pretty big price food great definitely recommend place,5,"Feb 25, 2018","Sunnyvale, CA",219,40
delicious quick service delivery tom yum soup steam hot nice tang pad ew fill wonderful amount veggie chicken slight sweetness sauce highly recommend,5,"May 19, 2018","Houston, TX",245,43
good standard thai sure super quick service actually feel bit rush busy crowded table space pretty tasty stuff flash original great choice basic d mood people look spicy unique dish thing vegetarian selection limited uncommon 100 prerogative probably not recommend strict veggie language barrier staff nice make hard figure s thing not describe menuthey will not split bill charge 36 surcharge credit card,3,"Dec 12, 2017","Toronto, Canada",717,123
solid 4 star good great thai food maybe expect yelps choice thai sydney 7 dish order tasty overwhelm food come quick frill place early dinner 445pm time finish line form early cause popular,4,"Nov 28, 2019","Austin, TX",367,69
pad thai amazing veggie spring roll fresh simple good great place vegetarian,5,"Nov 18, 2019","San Luis Obispo, CA",107,19
endure wait treat line long wait not lot people give place line window display restaurant remind de tai fung certain appetizer dessert interesting showcrispy pork belly crispy point not taste pork bite meat skin fry crisp people rave dish not recommend sauce good actual crispy pork notthe winner night soft shell crab salad pad mao beef crab tasty mess slaw dressing yummy bit point afraid crispiness crab soften dressing pad mao spicy definitely well version dish place ve itcustard sticky rice spectacular custard sticky rice forgettable custard soggy different colored sticky rice taste thank probably food coloringall m sydney ill probably pay place visit,4,"Aug 31, 2016","Diamond Bar, CA",1292,247
visit place 700 pm tuesday queue 10 min get tablefood good little spicythai green curry ricei forget try pork crispy try lamb sataywhich good,5,"Dec 6, 2017","Bellevue, WA",225,39
walk city 2 pm not know eat ve long home time ve s long queue think maybe time easy table 2 pm weekday andtable 1 lol lonelygot seat 3 min write waiting list tho haha queue thereordere pad thai default dish order thai restaurant think necessary order staple compare pad thais pad thai connoisseur tbhwell home worth wait worth time walk away see queue know s queuepad thai 1110 standout definitely bang not exactly point different pad thai chat thai like pad thai home little mound sugar burn spicy spice underestimate spicy spice straight eat little burn oesophagus proceed scoop spicy spice dish mix sugar providedoverall gr810 soon d,5,"Apr 18, 2016","Sydney, Australia",1208,232
good 100 recommend areathe location cool urban area city lot foot traffic look small surprisingly big inside kitchen visible restaurant outside think streetview kitchen cool design decor modern clean food seriously good like spicy food order little spicy come regular order amazing end come day later return trip sydney,5,"Oct 20, 2017","Corona, CA",577,103
oh oh mighty fall place good new ownership keep standard not waste money long restaurant know sad,1,"Jun 14, 2017","Sydney, Australia",204,41
get treat friend excellent thai resto sydney trouble line long grant 8 people not reservation 2 hour guess fault place packedthe food cut rest shame know itpork belly excellent banana flower good overall,5,"Dec 2, 2011","Sydney, Australia",457,86
ve eat group friend twice undoubtedly favourite thai restaurant definitely trump local thai restaurant guess testament great long take line dinner normal day spend 1520 min stand outside time s booking course definitely worth itif order crackling pork belly steamed rice share couple ll love promise service incredibly fast order come 510 min order remarkable consider entire restaurant pack group wait outside eat 9 pm price pretty reasonable group 4 dinner amass 30 head feel stuff afterwardshowever vegan like friend favourite place not good option find not recommend come thatbasically m give place huge yes recommend place yes eat yes wait half hour eat definitely yes,5,"Jan 23, 2016","Sydney, Australia",1248,230
cheap thai ok flavour ambience pleasant queue form restaurant lunch dinner mean restaurant probably good feel flavour ambience justify visit flavour authentic average local thai restaurant not love taste average ambience guest expect queue 20mins cram available spot mean ll literally rub elbow stranger course ll need awkwardly balance bag lap chair back make sure sauce not spill clothe belonging,3,"Jan 20, 2016","Cherrybrook, Australia",661,115
stumble spot walk not genius know try month ve see line people wait time place amazing fish fresh practically melt mouth duck curry seafood papaya not tell australia thailand slightly pricey opinion come sure,5,"Mar 19, 2016","Washington, DC",405,75
excellent quick service meal delivery incredibly busy food outstanding meal entree thai,5,"Sep 11, 2016","San Clemente, CA",191,33
thai restaurant dime dozen goodie people know queue matter time ve twice lunch dinner respectively great experience lunch pad thai nice thai milk tea dinner pad thai plus pork belly chilli fatty good thing love dessert thai fry donut dip condensed milk pandan sauce like churro asian styledefinitely recommend,4,"Oct 26, 2011","Sydney, Australia",586,112
favourite thai place come great service food perfectly get new management change staff rude not let extra plate strange food great old management find hair food,2,"Oct 30, 2018","Dulwich Hill, Australia",315,62
good thai food outside thailand real home thai favorite restaurant sydney super affordable super quick amazing food sydney favorite pad thai red curry chicken,5,"Apr 6, 2017","Westwood, Los Angeles, CA",235,42
favourite place eat night friend boyfriend line long inside service fast expect food arrive 5 min order order soft shell crab mango salad absolutely delicious flavour divine get pad prik khing half restaurant observation not disappoint wait till grab dessert menu place set absolutely favourite casual dining place,5,"Mar 11, 2016","Sydney, Australia",551,98
massive fan home thai ve try range dish love massaman curry red curry crispy pork dessert asian restaurant good home thai group people try broad range dish couple massaman curry tender want s hint sour luscious coconut sauce balance richness nicelyit popular restaurant bit wait place line move quickly time inside ll cram thousand diner low wooden stool big deal sort add ambience place reallyall good thai restaurant go food tasty stuff ve taste thailand,5,"Aug 25, 2015","Kingswood, Australia",856,167
guy get sloppy quality go hill favorite skip cherry tomato pork salad taste salty flavor hot bland spicy flavor tell ve cheapen bit portion meat massaman curry papaya salad not good color vibrancy like good place thai sydney tos fix ill rate,2,"Oct 19, 2018","Sydney, Australia",499,99
good food sydney far order chicken pad thai pork belly papaya salad dish delicious wish room try rest menu,4,"Nov 25, 2016","Honolulu, HI",192,39
yum sweet spicy shrimp pad prik prawn excellent nice size portionswe share casual noisy go pad thai,5,"Mar 23, 2019","Marietta, GA",177,30
delicious big menu decent price fast service fun experience see open kitchen,5,"Dec 24, 2018","Bedford Stuyvesant, Brooklyn, NY",94,15
fantastic cheap cheerful thai entire menu dozen time past 5 year disappointment dish nice spicy love,5,"Jan 13, 2016","Cheltenham, Australia",202,39
wait short minute seat place packedthe menu pretty extensive eye place try decide start thai iced tea standard flavor keuw tiew lod vegetarian roll corn roll excellent unique flavor corn good exactly thai opinion tasty nonetheless entree get fried pork not personally eat tell good stir fry chilli basil w rice chickeni thought fishy tasting not eat overall great place try,4,"Mar 25, 2016","Ormond Beach, FL",647,120
gday mate today time sydney die try place 6 pm sunday line door wait 6 7 minute seat table service great maybe busy not bad mediocre good chicken satay appetizer peanut sauce flavor great meat little overcooked salmon salad meal cook perfectly rare salmon perfect meat temperature salad nice kick mango sticky rice die overall great experience,4,"Jul 9, 2016","Baltimore, MD",667,133
fantastic thai food good ve eat,5,"Jan 28, 2019","Sydney, Australia",54,9
place amazing s delicious food fresh prompt service server day dream hella good food,4,"Jan 27, 2017","Merrylands, Australia",149,26
authentic thai food stir fry fresh ginger chicken great like combination cilantro mushroomit efficient restaurant waiter fast staff open kitchen move fast subconsciously eat fast watch indigestioni give 5 kuew tiew lod crepeskin break,4,"Jan 1, 2015","Kew Gardens, NY",381,68
wow provide great service food great delicious m happy service food,4,"Mar 22, 2018",Australia,112,20
thai urbane vibe place hop sunday evening careful spice not come not handle spice 3star like 5star establishment highlightsgrille beef grill perfectly flavorfulpad khee mao spicy tastylowlightspork belly soup sour spicy not find particularly agreeable palatesservice fairly mediocre nearly inclined cancel dish not arrive nearly finish meal restaurant bilevel upstairs feel cram recommend seating ground level available,3,"Dec 17, 2012","Seattle, WA",651,105
good thai food tasty authentic place packed prime dining hour come 6 avoid waitthey cash come prepared,5,"Dec 25, 2015","Chicago, IL",207,39
oh love home make cry literally love spicy food mnuch away fresh jalapenos try naga jolokia rate 1 million scoville unit spit chew watch people convulsion swallow home chicken larb cry like group teenage girl watch double feature titanic notebook frankly cry watch double feature hour waste lifeanyway home think good thai sydney live newtown city ordinance 50 restaurant thai think know talk warn want spend day drag ass ground like dog stay away spicy preparation,5,"Mar 7, 2013","Sydney, Australia",885,168
home thai hand good city joint thai food food fantastic fresh cheap chip talk 810 main people restaurant food come kitchen luke warm bin beloved cooper pale ale baseball capthere booking system popular place local city worker want rock 15 minute past hour miss atypica 12 noon 1300hrs lunch time slotsit surprisingly quiet saturday afternoon knock city weekend swing power upnumber 7 prawn pork dumpling number 44 bbq pork boil egg joy number 12 dry beef yes one look like dry cat poo pleasetheyve post helpful picture language moron like vastly intelligent people venture unpictured territory menu say enjoy food immediately write clipboard ya number will not long,5,"Jan 28, 2012",Australia,1131,208
place lineup outside realize newcomer sydney important note thai restaurant shortage kinda like sushi restaurant vancouver s probably hundred hundred exaggeration think difference quality price naturally s ton fastfood type joint pad thai pad ew plate buck roughly throw contrary hit sailor thai spice significantly high price ll price quality home price bad quality good service maybe know line up block tipbase countryi som tam thai staple live thailand not bad spicy dress curry pretty thick crispy pork belly green tad spicy pad thais regular thin vermicelli not good ve bad s mango sticky rice dessert good dessert taro come line forever outside definitely come close 930 ish seat pretty quick,4,"Jan 24, 2013","Sydney, Australia",1337,246
think thai food favourite asian cuisine japanese strong 2nd home thai restaurant hit home run bring good mate dinner awesome restaurant not disappoint near perfect service friendliness staff atmosphere importantly food menu read photo food order know exactly get food hit table jaw drop see exactly like photo menu rare look smell absolutely amazing mind place give nice aroma mate high expectation come food love place s say honestly try place grab friend lover sister brother dad mum cousin etc thai restaurant will not fail,5,"May 12, 2013","Sydney, Australia",997,180
look delicious cheap thai food place dish burst flavour character traditionally authentic thai mighty deliciousthe food arrive quickly wait line table not booking well earlystand dish include crispy pork belly pad ew massamun beef curry dessert not past bread stick custard light pillowy deep fry pastry serve pandan custard dipping sauce,5,"Jan 7, 2016","Sydney, Australia",590,104
base couple recommendation yelp review coworker visit home thai business trip australia definitely good thai food outside thailandone thing learn thailand food take minute actually cook prep story place deliver server enter order tablet food arrive minute later not scare line table turn quick definitely place try look great thai food sydney,5,"Nov 12, 2014","Redwood City, CA",598,113
restaurant came recommend sydney friend look restaurant know find home thai group people wait outside restaurant tip intimidate length waitlist dine home thai restaurant quickly turn table wait long 10th list manage table 15 minutesmy husband quickly seat moment take order get spicy mixed papaya salad bowl rice rest food quickly deliver minute efficient system people suggest order 23 dish eye big stomach order food 4 dish efficient restaurant try finish pay bill quickly byo wine byo beer credit card accept,4,"Jan 8, 2015","Brooklyn, NY",934,171
